date,domain_code,page_title,count_views,total_response_size
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Danbury,1,9044
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Ha98574,1,19987
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Huhu,4,40175
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Jsjsjs1111,1,6789
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Leitoxx,1,8453
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Mercy,1,19334
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Minsbot,1,17714
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Minsbot/Header_bar,1,7983
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Saviour1981,1,33619
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:SebrevBOT,1,25329
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:SieBot,1,76949
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Siebrand,1,76786
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:SilvonenBot,1,76942
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Sjorskingma,1,30157
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:SreeBot,1,48135
